iter	Passed	Remaining
0	155	155220
1	156	78253
2	158	52576
3	159	39703
4	160	31982
5	161	26820
6	163	23143
7	164	20425
8	166	18281
9	167	16554
10	168	15141
11	169	13966
12	171	12986
13	172	12133
14	173	11391
15	174	10747
16	175	10173
17	177	9662
18	178	9206
19	179	8795
20	180	8431
21	182	8093
22	183	7784
23	185	7524
24	186	7268
25	187	7027
26	188	6804
27	189	6595
28	191	6401
29	192	6219
30	193	6050
31	194	5891
32	195	5742
33	197	5604
34	198	5473
35	199	5347
36	200	5229
37	202	5117
38	203	5010
39	204	4908
40	206	4818
41	207	4732
42	208	4644
43	209	4561
44	211	4483
45	212	4407
46	213	4333
47	214	4261
48	216	4194
49	217	4130
50	218	4067
51	219	4006
52	220	3948
53	222	3891
54	223	3843
55	224	3792
56	226	3741
57	227	3697
58	228	3652
59	230	3606
60	231	3562
61	232	3519
62	233	3477
63	235	3437
64	236	3398
65	237	3360
66	238	3323
67	239	3279
68	240	3244
69	241	3211
70	243	3179
71	244	3147
72	245	3115
73	246	3085
74	247	3055
75	249	3031
76	252	3025
77	253	2998
78	254	2971
79	256	2944
80	257	2918
81	258	2892
82	259	2868
83	260	2844
84	261	2816
85	263	2802
86	265	2784
87	267	2767
88	268	2748
89	269	2729
90	271	2717
91	273	2698
92	274	2680
93	276	2661
94	277	2646
95	279	2629
96	280	2611
97	281	2594
98	283	2578
99	284	2562
100	286	2546
101	286	2525
102	288	2510
103	289	2495
104	291	2482
105	293	2473
106	294	2460
107	296	2446
108	297	2433
109	299	2419
110	300	2405
111	301	2391
112	303	2379
113	304	2366
114	305	2354
115	307	2340
116	308	2328
117	309	2315
118	310	2302
119	312	2290
120	313	2279
121	315	2270
122	316	2254
123	317	2243
124	319	2238
125	321	2228
126	322	2218
127	323	2204
128	325	2194
129	326	2183
130	327	2174
131	329	2164
132	330	2155
133	332	2146
134	333	2137
135	334	2127
136	336	2121
137	338	2111
138	339	2103
139	341	2094
140	342	2086
141	343	2076
142	345	2068
143	346	2061
