iter	Passed	Remaining
0	157	156938
1	158	79153
2	160	53300
3	161	40268
4	162	32430
5	164	27209
6	165	23474
7	166	20669
8	167	18487
9	169	16741
10	170	15319
11	173	14285
12	174	13286
13	177	12491
14	178	11733
15	179	11069
16	181	10513
17	183	9989
18	184	9529
19	185	9104
20	187	8720
21	188	8371
22	189	8052
23	190	7757
24	191	7487
25	194	7268
26	195	7036
27	196	6821
28	198	6636
29	199	6453
30	200	6276
31	202	6118
32	204	5982
33	205	5836
34	206	5697
35	207	5565
36	209	5441
37	210	5324
38	212	5225
39	213	5120
40	215	5040
41	216	4943
42	218	4852
43	219	4763
44	220	4678
45	221	4600
46	223	4540
47	225	4476
48	227	4408
49	228	4341
50	229	4276
51	231	4213
52	232	4152
53	233	4091
54	235	4047
55	236	3994
56	238	3943
57	239	3894
58	241	3846
59	242	3800
60	244	3760
61	245	3714
62	246	3670
63	247	3626
64	249	3585
65	250	3544
66	252	3509
67	253	3471
68	254	3433
69	255	3398
70	258	3376
71	259	3342
72	260	3308
73	261	3276
74	263	3243
75	264	3216
76	266	3196
77	267	3166
78	269	3137
79	270	3108
80	271	3079
81	272	3051
82	273	3019
83	274	2993
84	275	2968
85	276	2943
86	279	2935
87	281	2912
88	282	2889
89	283	2866
90	284	2843
91	285	2822
92	287	2807
93	289	2787
94	290	2766
95	291	2746
96	293	2728
97	294	2710
98	297	2704
99	298	2685
100	299	2667
101	302	2659
102	303	2642
103	304	2624
104	305	2607
105	307	2595
106	310	2594
107	312	2578
108	313	2562
109	314	2546
110	316	2531
111	317	2515
112	318	2500
113	319	2485
114	321	2472
115	322	2460
116	324	2445
117	325	2431
118	326	2417
119	327	2403
120	328	2389
121	330	2376
122	332	2367
123	333	2355
124	334	2344
125	336	2331
126	337	2317
127	338	2305
128	339	2293
129	340	2281
130	342	2268
131	343	2257
132	345	2251
133	346	2240
134	347	2229
135	349	2219
136	350	2208
137	352	2199
138	353	2192
139	355	2181
140	356	2170
141	357	2157
142	358	2147
143	359	2137
144	360	2127
145	362	2119
146	363	2109
147	364	2100
148	366	2093
149	368	2086
150	369	2077
151	370	2067
152	371	2059
153	373	2050
154	374	2042
155	376	2038
156	378	2029
157	379	2020
158	380	2012
159	381	2003
160	382	1992
161	383	1984
162	384	1975
163	385	1967
164	387	1959
165	389	1957
166	390	1950
167	392	1942
168	393	1934
169	394	1926
170	396	1921
171	398	1916
172	399	1908
173	400	1901
174	401	1893
175	402	1886
176	404	1880
177	405	1873
178	406	1866
179	408	1858
180	409	1852
181	411	1850
182	413	1844
183	414	1837
184	415	1830
185	416	1823
186	418	1820
187	420	1816
188	422	1813
189	423	1807
190	425	1801
191	428	1801
192	429	1795
193	430	1788
194	431	1782
195	434	1780
196	435	1774
197	436	1768
198	437	1761
199	438	1755
200	440	1750
201	442	1746
202	443	1740
203	444	1734
204	445	1728
205	447	1722
206	448	1717
207	449	1711
208	450	1705
209	451	1699
210	453	1694
211	455	1691
212	456	1686
213	457	1680
214	459	1675
215	461	1673
216	462	1669
217	464	1667
218	466	1662
219	467	1657
220	468	1651
221	469	1646
222	470	1641
223	473	1638
224	474	1633
225	475	1628
226	477	1625
227	478	1620
228	479	1615
229	480	1610
230	482	1605
231	483	1600
232	486	1603
233	488	1600
234	490	1595
235	492	1592
236	493	1589
237	495	1585
238	496	1581
239	499	1582
240	501	1578
241	502	1575
242	504	1571
243	505	1567
244	507	1564
245	509	1560
246	510	1557
247	513	1556
248	515	1553
249	516	1549
250	517	1545
251	519	1540
252	521	1539
253	522	1535
254	524	1531
255	526	1529
256	527	1524
257	528	1521
258	530	1517
259	531	1512
260	533	1509
261	535	1508
262	537	1505
263	539	1503
264	540	1499
265	543	1499
266	544	1495
267	546	1491
268	547	1487
